SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,OPPPONENTS
22015,977,21501228,"APR 13, 2016",LAL vs. UTA,W,42,22,50,0.44,6,21,0.286,10,12,0.833,0,4,4,4,1,1,2,1,60,7,1,UTA
22015,977,21501209,"APR 11, 2016",LAL @ OKC,L,19,4,12,0.333,3,9,0.333,2,2,1,0,1,1,0,1,0,2,2,13,-24,1,OKC
22015,977,21501195,"APR 10, 2016",LAL @ HOU,L,27,10,22,0.455,4,11,0.364,11,11,1,0,2,2,1,2,0,4,1,35,-10,1,HOU
22015,977,21501184,"APR 08, 2016",LAL @ NOP,L,22,4,15,0.267,3,9,0.333,3,3,1,0,3,3,4,1,0,2,0,14,-16,1,NOP
22015,977,21501172,"APR 06, 2016",LAL vs. LAC,L,28,6,19,0.316,1,6,0.167,4,4,1,0,3,3,1,1,0,1,1,17,-15,1,LAC
22015,977,21501164,"APR 05, 2016",LAL @ LAC,L,22,2,12,0.167,0,2,0,2,2,1,1,1,2,0,2,0,2,1,6,-25,1,LAC
22015,977,21501153,"APR 03, 2016",LAL vs. BOS,L,33,11,28,0.393,4,11,0.364,8,10,0.8,1,3,4,1,3,0,0,4,34,-4,1,BOS
22015,977,21501121,"MAR 30, 2016",LAL vs. MIA,W,9,1,7,0.143,0,2,0,0,0,0,1,1,2,0,0,0,1,0,2,-13,1,MIA
22015,977,21501104,"MAR 28, 2016",LAL @ UTA,L,28,1,11,0.091,0,4,0,3,3,1,0,0,0,2,1,0,0,0,5,-43,1,UTA
22015,977,21501096,"MAR 27, 2016",LAL vs. WAS,L,23,6,15,0.4,3,7,0.429,2,2,1,0,1,1,2,1,0,2,0,17,-11,1,WAS
22015,977,21501081,"MAR 25, 2016",LAL vs. DEN,L,29,10,22,0.455,4,9,0.444,4,5,0.8,0,4,4,0,0,0,1,2,28,-6,1,DEN
22015,977,21501065,"MAR 23, 2016",LAL @ PHX,L,28,5,13,0.385,3,8,0.375,4,4,1,0,3,3,2,0,1,1,1,17,-23,1,PHX
22015,977,21501055,"MAR 22, 2016",LAL vs. MEM,W,30,7,18,0.389,2,5,0.4,4,4,1,0,2,2,1,1,1,4,4,20,11,1,MEM
22015,977,21500987,"MAR 13, 2016",LAL vs. NYK,L,27,5,15,0.333,1,4,0.25,3,4,0.75,0,2,2,0,1,0,1,2,14,-18,1,NYK
22015,977,21500962,"MAR 10, 2016",LAL vs. CLE,L,32,11,16,0.688,3,4,0.75,1,2,0.5,1,4,5,2,1,1,0,1,26,-8,1,CLE
22015,977,21500931,"MAR 06, 2016",LAL vs. GSW,W,24,4,14,0.286,0,5,0,4,4,1,0,2,2,3,0,0,3,2,12,14,1,GSW
22015,977,21500906,"MAR 02, 2016",LAL @ DEN,L,11,1,2,0.5,1,2,0.5,2,3,0.667,1,1,2,1,0,0,0,1,5,1,1,DEN
22015,977,21500851,"FEB 24, 2016",LAL @ MEM,L,29,5,14,0.357,2,7,0.286,1,2,0.5,0,1,1,2,1,0,1,2,13,-7,1,MEM
22015,977,21500837,"FEB 22, 2016",LAL @ MIL,L,24,3,12,0.25,1,5,0.2,8,9,0.889,0,5,5,2,1,0,2,3,15,-20,1,MIL
22015,977,21500831,"FEB 21, 2016",LAL @ CHI,L,27,8,20,0.4,1,7,0.143,5,7,0.714,2,2,4,1,0,0,0,1,22,-1,1,CHI
